64	宇宙毫无疑问是无限的。	宇宙毫無疑問是無限的。	yǔzhòu háowúyíwèn shì wúxiàn de 。	There is no doubt the universe is infinite.
65	要变得完美，她就是少了一个缺点。	要變得完美，她就是少瞭一個缺點。	yào biànde wánměi ， tā jiùshì shǎo le yīgè quēdiǎn 。	To be perfect, she is less of a drawback.
66	然而，相反的理论往往也是真的。	然而，相反的理論往往也是真的。	ránér ， xiāngfǎn de lǐlùn wǎngwǎng yě shì zhēnde 。	However, the opposite is often true theory.
67	我们看东西不是看其实质，而是以我们的主观意识看它们的。	我們看東西不是看其實質，而是以我們的主觀意識看它們的。	wǒmen kàn dōngxi bùshì kàn qíshízhì ， érshì yǐ wǒmen de zhǔguān yìshí kàn tāmen de 。	We do not see the essence of things, but in our subjective consciousness to see them.
68	世界就是一个疯子的囚笼。	世界就是一個瘋子的囚籠。	shìjiè jiùshì yīgè fēngzi de qiúlóng 。	The world is a crazy cage.
69	我叫Jack。	我叫Jack。	wǒ jiào jack 。	My name is Jack.
70	从来就没有徒劳的爱情。	從來就沒有徒勞的愛情。	cónglái jiù méiyǒu túláo de àiqíng 。	Never love in vain.
71	生活就是当你忙着进行你的计划时总有其他的事情发生。	生活就是當你忙著進行你的計劃時總有其他的事情發生。	shēnghuó jiùshì dāngnǐmáng zhe jìnxíng nǐ de jìhuà shí zǒngyǒu qítā de shìqing fāshēng 。	Life is when you are busy with your plan there are always other things to happen.
72	没有欲望就等于拥有。	沒有欲望就等於擁有。	méiyǒu yùwàng jiù děngyú yōngyǒu 。	The same as having no desire.
73	圣诞节快乐！	聖誕節快樂！	shèngdànjié kuàilè ！	Merry Christmas!
74	罗马不是一天建成的。	羅馬不是一天建成的。	luómǎbushì yītiān jiànchéng de 。	Rome was not built in a day.
75	你是从哪个国家来的？	你是從哪個國傢來的？	nǐ shìcóng nǎge guójiā lái de ？	What country you come from?
76	我已经看过这部电影了。	我已經看過這部電影瞭。	wǒ yǐjīng kànguò zhèbù diànyǐng le 。	I've seen the film.
77	在墨西哥，有很多平民窟。	在墨西哥，有很多平民窟。	zài mòxīgē ， yǒu hěnduō píngmín kū 。	In Mexico, there are many slums.
78	这间房间朝向很好。	這間房間朝嚮很好。	zhè jiān fángjiān cháoxiàng hěn hào 。	This room toward the good.
79	你知不知道他们是谁?	你知不知道他們是誰?	nǐ zhībuzhīdào tāmen shì shuí ?	Do you know who they are?
80	你骗人！	你騙人！	nǐ piànrén ！	you're lying!
81	他也会说法语。	他也會說法語。	tā yě huì shuō fǎyǔ 。	He will also speak French.
82	我会说法语。	我會說法語。	wǒhuì shuō fǎyǔ 。	I can speak French.
83	我收到了请帖。	我收到瞭請帖。	wǒ shōudào le qǐngtiě 。	I received an invitation.
84	你住在哪里？	你住在哪裏？	nǐ zhù zài nǎlǐ ？	where do you live?
85	你记不记得我们认识的那一天？	你記不記得我們認識的那一天？	nǐ jì bù jìde wǒmen rènshi de nà yītiān ？	Do you remember the day we know?
86	他住在这里吗？	他住在這裏嗎？	tā zhù zài zhèlǐ mǎ ？	He lives here?
87	火车站离这里不远。	火車站離這裏不遠。	huǒchēzhàn lí zhèlǐ buyuǎn 。	Train station not far from here.
88	火车站在哪里?	火車站在哪裏?	huǒchēzhàn zài nǎlǐ ?	Where is the train station?
89	正在下雹。	正在下雹。	zhèngzài xiàbáo 。	It is hail.
90	我爱你。	我愛你。	wǒàinǐ 。	I love you.
91	我喜欢旅行。	我喜歡旅行。	wǒ xǐhuan lǚxíng 。	I like to travel.
92	我很期待去旅游.	我很期待去旅遊.	wǒ hěn qīdài qù lǚyóu .	I'm looking forward to travel.
93	我在旅行社工作.	我在旅行社工作.	wǒ zài lǚxíngshè gōngzuò .	I work in a travel agency.
94	我跟父母住在一起.	我跟父母住在一起.	wǒ gēn fùmǔ zhùzàiyīqǐ .	I live with parents.
95	他没有孩子.	他沒有孩子.	tā méiyǒu háizi .	He had no children.
96	这是我的妈妈.	這是我的媽媽.	zhè shì wǒ de māma .	This is my mother.
97	以后再讲。	以後再講。	yǐhòu zài jiǎng 。	After repeat.
98	我真的不知道。	我真的不知道。	wǒ zhēnde bù zhīdào 。	I really do not know.
99	人人都愿意相信美梦可以成真。	人人都願意相信美夢可以成真。	rénrén dōu yuànyì xiāngxìn měimèng kěyǐ chéng zhēn 。	Everyone willing to believe that dreams can come true.
100	十分感谢。	十分感謝。	shífēn gǎnxiè 。	Very grateful.
101	我跟父母联络了一下。	我跟父母聯絡瞭一下。	wǒ gēn fùmǔ liánluò le yīxià 。	Contact me for a moment with their parents.
102	我跟父母讲了留学的事情。	我跟父母講瞭留學的事情。	wǒ gēn fùmǔ jiǎng le liúxué de shìqing 。	I talked about things studying abroad with their parents.
103	我把旅费耗光了。	我把旅費耗光瞭。	wǒ bǎ lǚfèi hàoguāng le 。	I run out of travel.
104	我在旅行中用了地图。	我在旅行中用瞭地圖。	wǒ zài lǚxíng zhōngyòng le dìtú 。	I used the map in travel.
105	我不够钱去旅行。	我不夠錢去旅行。	wǒ bùgòu qián qù lǚxíng 。	I have enough money to travel.
106	他喜欢旅行。我也是。	他喜歡旅行。我也是。	tā xǐhuan lǚxíng 。 wǒ yě shì 。	He likes to travel. me too.
107	今天是几月几号？	今天是幾月幾號？	jīntiān shì jǐyuè jǐhào ？	What is today's date?
108	我收到了一张请帖。	我收到瞭一張請帖。	wǒ shōudào le yīzhāng qǐngtiě 。	I received an invitation.
109	她半年后就要出国了。	她半年後就要齣國瞭。	tā bànnián hòu jiùyào chūguó le 。	Six months later she would go abroad.
110	很少人这么认为。	很少人這麼認為。	hěnshǎo rén zhème rènwéi 。	Few people think so.
111	这周我一直在工作。	這周我一直在工作。	zhèzhōu wǒ yīzhí zài gōngzuò 。	This week I've been working.
112	我和她外出了几个月。	我和她外齣瞭幾個月。	wǒ hé tā wàichū le jǐge yuè 。	She and I go out for a few months.
113	明天下午之前我会把它完成。	明天下午之前我會把它完成。	míngtiān xiàwǔ zhīqián wǒhuì bǎ tā wánchéng 。	Before tomorrow afternoon I will complete it.
114	自己动手真好。	自己動手真好。	zìjǐ dòngshǒu zhēn hào 。	Yourself nice.
115	那个发现纯属偶然。	那個發現純屬偶然。	nàgè fāxiàn chúnshǔǒurán 。	That discovery by accident.
116	在英国的时候，我经常看参考书。	在英國的時候，我經常看參考書。	zài yīngguó de shíhou ， wǒ jīngcháng kàn cānkǎoshū 。	In the UK, I often see reference books.
117	我弟弟会经常彻夜不睡。	我弟弟會經常徹夜不睡。	wǒ dìdi huì jīngcháng chèyè bù shuì 。	My brother often does not sleep through the night.
118	你不得不制造一些借口。	你不得不製造一些藉口。	nǐ bùdébù zhìzào yīxiē jièkǒu 。	You have to make some excuse.
119	她可能出什么事了。	她可能齣什麼事瞭。	tā kěnéng chū shénme shì le 。	She probably what happened.
120	你参加社团活动吗？	你參加社團活動嗎？	nǐ cānjiā shètuánhuódòng mǎ ？	Do you participate in community activities?
121	我找到那把我一直在找的钥匙了。	我找到那把我一直在找的鑰匙瞭。	wǒ zhǎodào nà bǎ wǒ yīzhí zài zhǎo de yàoshi le 。	I find that I have been looking for the keys.
122	我丢了我的伞。	我丟瞭我的傘。	wǒ diū le wǒ de sǎn 。	I lost my umbrella.
123	她是他的一切。	她是他的一切。	tā shì tā de yīqiè 。	She was his everything.
124	接电话。	接電話。	jiēdiànhuà 。	Answer the phone.
125	我在报纸上看到了它。	我在報紙上看到瞭它。	wǒ zài bàozhǐ shàng kàndào le tā 。	I saw it in the newspaper.
126	请把它充入我的账户。	請把它充入我的賬戶。	qǐng bǎ tā chōngrù wǒ de zhànghù 。	Please charge it to my account.
127	雨不停，我们不会出去。	雨不停，我們不會齣去。	yǔ bùtíng ， wǒmen bùhuì chūqù 。	Non-stop rain, we will not go out.
128	这和我那本是同一本书。	這和我那本是同一本書。	zhè hé wǒ nàběn shì tóngyī běnshū 。	This is my this is the same book.
129	他们是热爱和平的人。	他們是熱愛和平的人。	tāmen shì rèài hépíng de rén 。	They are peace-loving people.
130	我觉得你说的是真的。	我覺得你說的是真的。	wǒ juéde nǐ shuō de shì zhēnde 。	I think you said is true.
131	可以原谅我吗？	可以原諒我嗎？	kěyǐ yuánliàng wǒ mǎ ？	You can forgive me?
132	我们没机会赢那些一流选手。	我們沒機會贏那些一流選手。	wǒmen méi jīhuì yíng nàxiē yīliú xuǎnshǒu 。	We have no chance to win those top players.
133	他发誓要戒烟。	他發誓要戒煙。	tā fāshì yào jièyān 。	He vowed to quit smoking.
134	在明天前完成报告几乎是不可能的。	在明天前完成報告幾乎是不可能的。	zài míngtiān qián wánchéng bàogào jīhū shì bù kěnéng de 。	Before the completion of the report tomorrow is almost impossible.
135	他昨天看了一部最有趣的小说。	他昨天看瞭一部最有趣的小說。	tā zuótiān kàn le yībù zuì yǒuqù de xiǎoshuō 。	He saw a most interesting novel yesterday.
136	如果可能的话，我想环游世界。	如果可能的話，我想環遊世界。	rúguǒ kěnéng dehuà ， wǒ xiǎng huányóushìjiè 。	If possible, I would like to travel around the world.
137	我是网球俱乐部的会员。	我是網球俱樂部的會員。	wǒ shì wǎngqiú jùlèbù de huìyuán 。	I am a member of the tennis club.
138	医生，请给这孩子急救。	醫生，請給這孩子急救。	yīshēng ， qǐng gěi zhè háizi jíjiù 。	Doctor, please give this child first aid.
139	据说山上的天气变化很快。	據說山上的天氣變化很快。	jùshuō shānshàng de tiānqì biànhuà hěnkuài 。	It is said that weather changes quickly in the mountains.
140	他后悔在校时没用功读书。	他後悔在校時沒用功讀書。	tā hòuhuǐ zàixiào shí méi yònggōngdúshū 。	He regretted not study hard at school.
141	我可以用支票付吗？	我可以用支票付嗎？	wǒ kěyǐ yòng zhīpiào fù mǎ ？	Can I pay by check it?
142	如果他年轻一点，他将很适合这个职位。	如果他年輕一點，他將很適閤這個職位。	rúguǒ tā niánqīng yīdiǎn ， tā jiàng hěn shìhé zhège zhíwèi 。	If he was younger, he would be fit for the position.
143	他给我的工作作出了明确指示。	他給我的工作作齣瞭明確指示。	tā gěi wǒ de gōngzuò zuòchū le míngquè zhǐshì 。	He gave me the work has made clear instructions.
144	他向权力屈服。	他嚮權力屈服。	tā xiàng quánlì qūfú 。	He yield to the authority.
145	是在昨天Jake打破了这扇窗。	是在昨天Jake打破瞭這扇窗。	shì zài zuótiān jake dǎpò le zhè shàn chuāng 。	The window was broken yesterday Jake.
146	今天糟糕透了，所以我准备去喝一杯就直接上床。	今天糟糕透瞭，所以我準備去喝一杯就直接上床。	jīntiān zāogāo tòu le ， suǒyǐ wǒ zhǔnbèi qù hèyībēi jiù zhíjiē shàngchuáng 。	Today, terrible, so I'm ready for a drink directly to bed.
147	如果没有你，这个世界很孤单。	如果沒有你，這個世界很孤單。	rúguǒ méiyǒu nǐ ， zhège shìjiè hěn gūdān 。	Without you, the world is very lonely.
148	我觉得这个网站的构思非常好。	我覺得這個網站的構思非常好。	wǒ juéde zhège wǎngzhàn de gòusī fēicháng hào 。	I think the idea of ​​this site is very good.
149	我觉得这个网站的概念非常好。	我覺得這個網站的概念非常好。	wǒ juéde zhège wǎngzhàn de gàiniàn fēicháng hào 。	I think the concept of this site is very good.
150	啊，我认识这个男人！	啊，我認識這個男人！	a ， wǒ rènshi zhège nánrén ！	Ah, I know this man!
151	待在那儿别动。	待在那兒彆動。	dài zài nàr biédòng 。	Stay where you are.
152	沿着这条路直走，到第三个红绿灯的地方右转。	沿著這條路直走，到第三個紅綠燈的地方右轉。	yánzhe zhètiáo lùzhí zǒu ， dào dìsānge hónglǜdēng de dìfāng yòuzhuǎn 。	Follow this road straight to the third traffic lights and turn right.
153	他正坐在会议室里。	他正坐在會議室裏。	tā zhèng zuòzài huìyìshì lǐ 。	He was sitting in the conference room.
154	等她回来的时候问问她。	等她迴來的時候問問她。	děng tā huílai de shíhou wènwèn tā 。	So when she came back to ask her.
155	他说得很大声。	他說得很大聲。	tā shuō de hěn dàshēng 。	He said very loudly.
156	差不多两周John的病才好了。	差不多兩周John的病纔好瞭。	chàbuduō liǎngzhōu john de bìng cái hào le 。	Almost two weeks John quite well again.
157	我们必须设法打破这个僵局。	我們必須設法打破這個僵局。	wǒmen bìxū shèfǎ dǎpò zhège jiāngjú 。	We must try to break the deadlock.
158	十年后，我们的城市将改变许多。	十年後，我們的城市將改變許多。	shínián hòu ， wǒmen de chéngshì jiàng gǎibiàn xǔduō 。	Ten years later, our city will change a lot.
159	你咖啡喝得太多了。	你咖啡喝得太多瞭。	nǐ kāfēi hède tàiduō le 。	You drank too much coffee.
160	我有好几打呢。	我有好幾打呢。	wǒ yǒu hǎojǐdǎ ní 。	I have several play it.
161	我无法想象另一个星球上的生物。	我無法想象另一個星球上的生物。	wǒ wúfǎ xiǎngxiàng lìng yīgè xīngqiú shàng de shēngwù 。	I can not imagine life on another planet.
162	温度计往往低于零度。	溫度計往往低於零度。	wēndùjì wǎngwǎng dīyú língdù 。	Thermometer often below zero.
163	要完成实验，三个月太短了。	要完成實驗，三個月太短瞭。	yào wánchéng shíyàn ， sānge yuè tàiduǎn le 。	To complete the experiment, three months is too short.
164	“这些车是你的吗？”“是的，是我的。”	“這些車是你的嗎？”“是的，是我的。”	“ zhèxiē chēshì nǐ de mǎ ？ ” “ shì de ， shì wǒ de 。 ”	"The car is yours?" "Yes, my."
165	我叔叔住在学校附近。	我叔叔住在學校附近。	wǒ shūshu zhù zài xuéxiào fùjìn 。	My uncle lives near the school.
166	去踢足球吧。	去踢足球吧。	qù tīzúqiú ba 。	Go and play football.
167	合同已经到手了，那就出去庆祝一下吧。	閤同已經到手瞭，那就齣去慶祝一下吧。	hétóng yǐjīng dàoshǒu le ， nà jiù chūqù qìngzhù yīxià ba 。	Contract at hand, and then go out and celebrate it.
168	我难以用言语表达我的感情。	我難以用言語錶達我的感情。	wǒ nányǐ yòng yányǔ biǎodá wǒ de gǎnqíng 。	I can not express my feelings in words.
169	我无法治愈心碎。	我無法治愈心碎。	wǒ wúfǎ zhìyù xīnsuì 。	I can not heal a broken heart.
170	猫抓住了老鼠。	貓抓住瞭老鼠。	māo zhuāzhù le lǎoshǔ 。	Cat caught the mouse.
171	直到那时，他才意识到他已经上当受骗。	直到那時，他纔意識到他已經上當受騙。	zhídào nàshí ， tā cái yìshí dào tā yǐjīng shàngdāngshòupiàn 。	Until then, he realized that he had cheated.
172	他的医生建议他戒烟。	他的醫生建議他戒煙。	tā de yīshēng jiànyì tā jièyān 。	His doctor advised him to quit.
173	我爸爸很忙。	我爸爸很忙。	wǒ bàba hěn máng 。	My father was busy.
174	他用了一些手段来和Nancy私下交谈。	他用瞭一些手段來和Nancy私下交談。	tāyòng le yīxiē shǒuduàn lái hé nancy sīxià jiāotán 。	He used some means to Nancy and private conversation.
175	把这些座位留给老人。	把這些座位留給老人。	bǎ zhèxiē zuòwèi liúgěi lǎorén 。	These seats reserved for the elderly.
176	我无法取代她做英语老师。	我無法取代她做英語老師。	wǒ wúfǎ qǔdài tā zuò yīngyǔlǎoshī 。	I can not replace her English teacher.
177	他们粗心大意，还没意识到危险。	他們粗心大意，還沒意識到危險。	tāmen cūxīndàyì ， hái méi yìshí dào wēixiǎn 。	They are careless, do not realize the danger.
178	她挥着她的手，直到火车消失在视线之外。	她揮著她的手，直到火車消失在視綫之外。	tā huī zhe tā de shǒu ， zhídào huǒchē xiāoshī zài shìxiàn zhīwài 。	She waved her hand until the train disappeared out of sight.
179	当她发现他们还没有学校，她就办了一个。	當她發現他們還沒有學校，她就辦瞭一個。	dāng tā fāxiàn tāmen hái méiyǒu xuéxiào ， tā jiù bàn le yīgè 。	When she found they have no school, she organized a.
180	谢谢你的答复。	謝謝你的答復。	xièxie nǐ de dáfù 。	Thank you for the reply.
181	Jack买不起新自行车。	Jack買不起新自行車。	jack mǎibuqǐ xīn zìxíngchē 。	Jack can not afford a new bike.
182	他寻找一切可能的逃生途径。	他尋找一切可能的逃生途徑。	tā xúnzhǎo yīqiè kěnéng de táoshēng tújìng 。	He was looking for all possible means of escape.
183	对严格限制经济的批评蜂拥而来。	對嚴格限製經濟的批評蜂擁而來。	duì yángé xiànzhì jīngjì de pīpíng fēngyōngérlái 。	Criticism of the strict economic constraints swarms.
184	这药创造了奇迹。	這藥創造瞭奇跡。	zhèyào chuàngzào le qíjì 。	This medicine is a miracle.
185	你最好打消这么可笑的念头。	你最好打消這麼可笑的念頭。	nǐ zuìhǎo dǎxiāo zhème kěxiào de niàntou 。	You'd better give up such a ridiculous idea.
186	我看见一个长头发的女生。	我看見一個長頭發的女生。	wǒ kànjiàn yīgè cháng tóufa de nǚshēng 。	I saw a girl with long hair.
187	外交谈判帮助结束了冲突。	外交談判幫助結束瞭衝突。	wàijiāo tánpàn bāngzhù jiéshù le chōngtū 。	Diplomatic negotiations to help end the conflict.
188	我发现了我爸爸收藏了30年的报纸。	我發現瞭我爸爸收藏瞭30年的報紙。	wǒ fāxiàn le wǒ bàba shōucáng le sānlíng nián de bàozhǐ 。	I found my father's newspaper collection for 30 years.
189	如何克服日元升高是个大问题。	如何剋服日元升高是個大問題。	rúhé kèfú rìyuán shēnggāo shì ge dà wèntí 。	How to overcome the yen rise is a big problem.
190	你想走的时候就走吧。	你想走的時候就走吧。	nǐ xiǎng zǒu de shíhou jiù zǒu ba 。	You want to go when you go.
191	他们在画展上授予了她一等奖。	他們在畫展上授予瞭她一等奬。	tāmen zài huàzhǎn shàng shòuyǔ le tā yīděngjiǎng 。	They awarded her first prize in the exhibition.
192	你可以骑上我的摩托车去遛一圈。	你可以騎上我的摩托車去遛一圈。	nǐ kěyǐ qíshàng wǒ de mótuōchē qù liù yīquān 。	You can ride my motorcycle to stroll around.
193	他给我们讲了一个有趣的故事，我们都笑了起来。	他給我們講瞭一個有趣的故事，我們都笑瞭起來。	tā gěi wǒmen jiǎng le yīgè yǒuqù de gùshi ， wǒmen dōu xiàoliǎoqǐlái 。	He told us an interesting story, we all laughed.
194	如何料理黑鲷：做刺身是最好吃的。	如何料理黑鯛：做刺身是最好吃的。	rúhé liàolǐ hēidiāo ： zuò cìshēn shì zuì hàochī de 。	How to prepare black porgy: Sashimi is doing the best to eat.
195	让我们来澄清一下这个问题。	讓我們來澄清一下這個問題。	ràng wǒmen lái dèngqīng yīxià zhège wèntí 。	Let's clarify this issue.
196	别忘了在你的信上贴张邮票。	彆忘瞭在你的信上貼張郵票。	biéwàngliǎo zài nǐ de xìnshàng tiē zhāng yóupiào 。	Do not forget your letter posted on stamps.
197	我的生意终于走上了正轨。	我的生意終於走上瞭正軌。	wǒ de shēngyi zhōngyú zǒushàng le zhèngguǐ 。	My business is finally on the right track.
198	如果你需要笔的话，我借你一支。	如果你需要筆的話，我藉你一支。	rúguǒ nǐ xūyào bǐ dehuà ， wǒ jiè nǐ yīzhī 。	If you need a pen, I lend you one.
199	我要回房间了，在那儿我可以学习。	我要迴房間瞭，在那兒我可以學習。	wǒyào huí fángjiān le ， zài nàr wǒ kěyǐ xuéxí 。	I'm going back to the room, where I can learn.
200	照这样的情况，很抱歉，我不能接受你的盛情邀请。	照這樣的情況，很抱歉，我不能接受你的盛情邀請。	zhào zhèyàng de qíngkuàng ， hěn bàoqiàn ， wǒ bùnéng jiēshòu nǐ de shèngqíng yāoqǐng 。	According to such a situation, I'm sorry, I can not accept your kind invitation.
201	在一天之内完成它几乎是不可能的。	在一天之內完成它幾乎是不可能的。	zài yītiān zhīnèi wánchéng tā jīhū shì bù kěnéng de 。	It is almost impossible to complete in one day.
202	接下来该采取什么行动就交给你了。	接下來該采取什麼行動就交給你瞭。	jiēxiàlái gāi cǎiqǔ shénme xíngdòng jiù jiāogěi nǐ le 。	What action to take next steps on to you.
